Šifra NKS;Puno ime NKS;Naziv NKS
A.;A. Površinske kopnene vode i močvarna staništa;Površinske kopnene vode i močvarna staništa
A.1.;A.1. Stajaćice;Stajaćice
A.1.1.;A.1.1. Stalne stajaćice;Stalne stajaćice
A.1.1.1.;A.1.1.1. Stalne stajaćice;Stalne stajaćice
A.1.1.1.1.;A.1.1.1.1. Oligotrofne vode siromašne vapnencem;Oligotrofne vode siromašne vapnencem
A.1.1.1.2.;A.1.1.1.2. Mezotrofne vode;Mezotrofne vode
A.1.1.1.3.;A.1.1.1.3. Eutrofne vode;Eutrofne vode
A.1.1.1.4.;A.1.1.1.4. Oligotrofno-mezotrofne vode bogate vapnencem;Oligotrofno-mezotrofne vode bogate vapnencem
A.1.1.1.5.;A.1.1.1.5. Dna stalnih stajaćica;Dna stalnih stajaćica
A.1.2.;A.1.2. Povremene stajaćice;Povremene stajaćice
A.1.2.1.;A.1.2.1. Povremene stajaćice ;Povremene stajaćice 
A.1.2.1.1.;A.1.2.1.1. Povremene oligotrofne stajaćice siromašne vapnencem;Povremene oligotrofne stajaćice siromašne vapnencem
A.1.2.1.2.;A.1.2.1.2. Povremene mezotrofne stajaćice;Povremene mezotrofne stajaćice
A.1.2.1.3.;A.1.2.1.3. Povremene eutrofne stajaćice;Povremene eutrofne stajaćice
A.1.2.1.4.;A.1.2.1.4. Povremene oligotrofno-mezotrofne stajaćice;Povremene oligotrofno-mezotrofne stajaćice
A.1.2.1.5.;A.1.2.1.5. Dna povremenih stajaćica (vodena faza);Dna povremenih stajaćica (vodena faza)
A.1.2.1.6.;A.1.2.1.6. Neobrasla dna povremenih stajaćica (suha faza);Neobrasla dna povremenih stajaćica (suha faza)
A.1.3.;A.1.3. Neobrasle i slabo obrasle obale stajaćica;Neobrasle i slabo obrasle obale stajaćica
A.1.3.1.;A.1.3.1. Neobrasle i slabo obrasle obale stajaćica;Neobrasle i slabo obrasle obale stajaćica
A.1.3.1.1.;A.1.3.1.1. Neobrasle i slabo obrasle obale stajaćica;Neobrasle i slabo obrasle obale stajaćica
A.2.;A.2. Tekućice;Tekućice
A.2.1.;A.2.1. Izvori;Izvori
A.2.1.1.;A.2.1.1. Izvori;Izvori
A.2.1.1.1.;A.2.1.1.1. Reokreni izvori;Reokreni izvori
A.2.1.1.2.;A.2.1.1.2. Limnokreni izvori;Limnokreni izvori
A.2.1.1.3.;A.2.1.1.3. Helokreni izvori;Helokreni izvori
A.2.2.;A.2.2. Povremeni vodotoci;Povremeni vodotoci
A.2.2.1.;A.2.2.1. Povremeni vodotoci;Povremeni vodotoci
A.2.2.1.1.;A.2.2.1.1. Povremeni vodotoci povremeno suhog korita;Povremeni vodotoci povremeno suhog korita
A.2.2.1.2.;A.2.2.1.2. Povremeni vodotoci s bazenčićima;Povremeni vodotoci s bazenčićima
A.2.3.;A.2.3. Stalni vodotoci;Stalni vodotoci
A.2.3.1.;A.2.3.1. Brzi, turbulentni vodotoci;Brzi, turbulentni vodotoci
A.2.3.1.1.;A.2.3.1.1. Gornji i srednji tokovi turbulentnih vodotoka;Gornji i srednji tokovi turbulentnih vodotoka
A.2.3.1.2.;A.2.3.1.2. Donji tokovi turbulentnih vodotoka;Donji tokovi turbulentnih vodotoka
A.2.3.2.;A.2.3.2. Spori vodotoci;Spori vodotoci
A.2.3.2.1.;A.2.3.2.1. Gornji tokovi sporih vodotoka ;Gornji tokovi sporih vodotoka 
A.2.3.2.2.;A.2.3.2.2. Srednji i donji tokovi sporih vodotoka ;Srednji i donji tokovi sporih vodotoka 
A.2.4.;A.2.4. Kanali;Kanali
A.2.4.1.;A.2.4.1. Kanali sa stalnim protokom;Kanali sa stalnim protokom
A.2.4.1.1.;A.2.4.1.1. Kanali sa stalnim protokom, površinska odvodnja;Kanali sa stalnim protokom, površinska odvodnja
A.2.4.1.2.;A.2.4.1.2. Kanali sa stalnim protokom, površinsko navodnjavanje;Kanali sa stalnim protokom, površinsko navodnjavanje
